mij_mii,mij
1,.6360779
.2421334,.1540157
.0000338,.0000215
.0176429,.0112222
.0000338,.0000215
.0000338,.0000215
.0000676,.000043
.0075709,.0048157
.0000338,.0000215
.0005408,.000344
.0000676,.000043
.0270051,.0171773
.0000696,.0000443
.000169,.0001075
.0000602,.0000383
.0001014,.0000645
.0000338,.0000215
.0003718,.0002365
.0000338,.0000215
.000845,.0005375
.0000755,.0000481
.0003718,.0002365
.0000676,.000043
.0004732,.000301
.0006674,.0004245
.0007098,.0004515
.0001327,.0000844
.0004056,.000258
.0000676,.000043
.0007436,.000473
.0018251,.0011609
.0505965,.0321833
.0002144,.0001363
.0006084,.000387
.0000608,.0000387
.0007774,.0004945
.0000338,.0000215
.0010816,.000688
.0000596,.0000379
.0002028,.000129
.0000521,.0000332
.000338,.000215
.0001352,.000086
.0018251,.0011609
.0072667,.0046222
.1446581,.0920138
.0000676,.000043
.0004394,.0002795
.0000338,.0000215
.0012505,.0007954
.0000861,.0000548
.0001014,.0000645
.0002366,.0001505
.0103762,.0066001
.0005408,.000344
.0011154,.0007095
.0000338,.0000215
.0005746,.0003655
.0007436,.000473
.0462365,.02941
.0660391,.0543147
1,.8224637
.0001405,.0001156
.0137698,.0113252
.0000601,.0000495
.000281,.0002311
.0002133,.0001754
.0028102,.0023113
.0001048,.0000862
.000281,.0002311
.0001405,.0001156
.0259941,.0213792
.000084,.0000691
.0008431,.0006934
.0000727,.0000598
.0004215,.0003467
.0000715,.0000588
.0015456,.0012712
.0002584,.0002125
.000281,.0002311
.0001405,.0001156
.0002735,.000225
.0006875,.0005654
.000281,.0002311
.0008058,.0006627
.0004215,.0003467
.0001602,.0001318
.0001405,.0001156
.0003604,.0002964
.0004215,.0003467
.0007025,.0005778
.0113812,.0093606
.0002588,.0002129
.0004215,.0003467
.0000734,.0000604
.0004215,.0003467
.000154,.0001267
.000562,.0004623
.000072,.0000592
.0008431,.0006934
.0000629,.0000518
.0004215,.0003467
.0011535,.0009487
.0028102,.0023113
.0004215,.0003467
.0619643,.0509634
.0001473,.0001211
.0015456,.0012712
.0003629,.0002984
.0001405,.0001156
.000104,.0000855
.0004215,.0003467
.0001685,.0001386
.0040748,.0033513
.0002589,.000213
.0001405,.0001156
.0001164,.0000957
.0008431,.0006934
.0014,.0011515
.0073064,.0060093
.0000279,9.30e-06
.0000735,.0000245
1,.332919
1.80331,.6003561
6.60e-06,2.20e-06
.0000253,8.43e-06
8.47e-06,2.82e-06
.0001149,.0000383
.0000346,.0000115
.0000705,.0000235
.0000249,8.29e-06
.0012731,.0004238
7.19e-06,2.39e-06
.0000284,9.47e-06
7.63e-06,2.54e-06
.0000297,9.88e-06
7.18e-06,2.39e-06
.0000427,.0000142
.0006365,.0002119
.0043263,.0014403
.0000792,.0000264
.0002374,.000079
.0000429,.0000143
.0000912,.0000304
.0000232,7.74e-06
.0000527,.0000175
7.61e-06,2.53e-06
.0000277,9.22e-06
.0007436,.0002475
.0014574,.0004852
.0000648,.0000216
.0006365,.0002119
6.26e-06,2.08e-06
.0000223,7.41e-06
.000075,.000025
.0006365,.0002119
.000255,.0000849
.0006365,.0002119
.0000346,.0000115
.0001095,.0000365
.0000221,7.37e-06
.0001044,.0000348
.0003372,.0001122
.0012209,.0004065
.0000265,8.84e-06
.0006365,.0002119
.0000329,.0000109
.0001788,.0000595
.0002861,.0000952
.0007708,.0002566
.0000155,5.17e-06
.0000394,.0000131
.0055073,.0018335
